trail,network,termination,throttle,recv_buff_size,total_cycles,actions_created,actions_performed,actions_false_pred,diffusions_created,diffusions_performed,diffusions_false_pred,avg_cells_active_percent,diffusions_filtered,actions_overlaped,diffusions_pruned,operons_moved,dim_x,dim_y,min_edges,max_edges,vicinity,pruning,rpvo_max,rhizome_cuttoff,congestion_threshold_value,memory_cc,chip_area,totE,time,avg_objects_per_cc,total_objects_created,vertices,edges,graph_file,routing_algorithm
0,TORUS,OFF,ON,4,2672870,757996278,27992851,730003427,27992851,18571578,6171,94.049,9415102,544953416,9421273,48096410656,128,128,50,250,8,ON,16,10175,90,1103190,4988.219534432034,3.397624762745866,0.00267287,321.801,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,3713160,797484389,27694989,769789400,27694989,19601149,21922,94.4805,8071918,653912452,8093840,25309731143,64,64,50,250,7,ON,16,10175,45,3610380,4060.6028945669127,3.2059756443753367,0.00371316,1287.2,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,2938147,746331844,26717581,719614263,26717581,18150908,5643,92.6046,8561030,566636133,8566673,47353953895,128,128,50,250,8,ON,16,10175,90,1103190,4988.219534432034,3.3480299532960505,0.002938147,321.801,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,3698828,816640061,28173387,788466674,28173387,20169098,21997,96.4092,7982292,661511674,8004289,25919788332,64,64,50,250,7,ON,16,10175,45,3610380,4060.6028945669127,3.282458415057599,0.003698828,1287.2,5272386,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,3163400,749090209,28597475,720492734,28597475,18318452,6277,88.7794,10272746,572766736,10279023,47515952887,128,128,50,250,8,ON,1,162800,90,1103190,4988.219534432034,3.361498492185494,0.0031634,321.764,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,17316509,825162672,28177354,796985318,28177354,20243063,169597,95.3264,7764694,657014036,7934291,6555834781,16,16,50,250,3,ON,1,162800,11,32435456,2275.4916414583777,2.422133118677518,0.017316509,20592.9,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,7829791,779357203,27087681,752269522,27087681,19247834,48006,95.2848,7791841,654389522,7839847,12373726856,32,32,50,250,6,ON,1,162800,22,8108864,2277.1911663814544,2.32399875459677,0.007829791,5148.22,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
0,TORUS,OFF,ON,4,3831876,749933488,26429323,723504165,26429323,18431109,21446,92.1422,7976768,626310508,7998214,23800848828,64,64,50,250,7,ON,1,162800,45,3610380,4060.6028945669127,3.017441517229729,0.003831876,1287.05,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
10,TORUS,OFF,ON,4,2866580,688183911,27045406,661138505,27045406,17036776,5432,89.9523,10003198,498505227,10008630,43653055795,128,128,50,250,8,ON,1,162800,90,1103190,4988.219534432034,3.087853195605841,0.00286658,321.764,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
10,TORUS,OFF,ON,4,8913500,879306582,29607427,849699155,29607427,21447420,49265,93.8717,8110742,731100583,8160007,13962270121,32,32,50,250,6,ON,1,162800,22,8108864,2277.1911663814544,2.622686086210674,0.0089135,5148.22,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,16891179,804047661,27882930,776164731,27882930,19829465,173876,95.2388,7879589,639020289,8053465,6387595932,16,16,50,250,3,ON,1,162800,11,32435456,2275.4916414583777,2.3600589543381765,0.016891179,20592.9,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,7863255,774932588,27076194,747856394,27076194,19202816,48510,94.3709,7824868,647963793,7873378,12304991742,32,32,50,250,6,ON,1,162800,22,8108864,2277.1911663814544,2.3114190467869538,0.007863255,5148.22,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
1,TORUS,OFF,ON,4,3639960,757878303,26559345,731318958,26559345,18676124,21597,92.1461,7861624,624223153,7883221,24053661777,64,64,50,250,7,ON,1,162800,45,3610380,4060.6028945669127,3.047717912589448,0.00363996,1287.05,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
2,TORUS,OFF,ON,4,7613384,750375526,26593110,723782416,26593110,18617845,49340,94.4005,7925925,627074425,7975265,11913519288,32,32,50,250,6,ON,1,162800,22,8108864,2277.1911663814544,2.237886543578084,0.007613384,5148.22,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
2,TORUS,OFF,ON,4,3882270,772790901,27075347,745715554,27075347,18891828,19988,91.551,8163531,639137610,8183519,24529507088,64,64,50,250,7,ON,1,162800,45,3610380,4060.6028945669127,3.1093084717793995,0.00388227,1287.05,5271777,4194303,128311436,PATH-TO/Datasets/muchiSim/kron22.edgelist,XY
